sports,country,league,id,team
fussball,italien,serie_b,8,US Catanzaro
fussball,italien,serie_b,9,Ternana
fussball,italien,serie_b,10,Brescia
fussball,italien,serie_b,11,Parma
fussball,italien,serie_b,12,FC Venedig
fussball,italien,serie_b,13,Palermo
fussball,italien,serie_b,14,Cosenza
fussball,italien,serie_b,15,AC Reggiana
fussball,italien,serie_b,16,Sampdoria
fussball,italien,serie_b,17,Calcio Lecco
fussball,italien,serie_b,18,Ascoli
fussball,italien,serie_b,19,Spezia Calcio
fussball,portugal,primeira_liga,0,CF Estrela
fussball,portugal,primeira_liga,1,SC Farense
fussball,portugal,primeira_liga,2,Moreirense
fussball,portugal,primeira_liga,3,Boavista
fussball,portugal,primeira_liga,4,Rio Ave
fussball,portugal,primeira_liga,5,Sporting CP
fussball,portugal,primeira_liga,6,Vit. Guimaraes
fussball,portugal,primeira_liga,7,FC Arouca
fussball,portugal,primeira_liga,8,FC Gil Vicente
fussball,portugal,primeira_liga,9,Portimonense
fussball,portugal,primeira_liga,10,FC Famalicao
fussball,portugal,primeira_liga,11,Chaves
fussball,portugal,primeira_liga,12,Estoril
fussball,portugal,primeira_liga,13,Casa Pia
fussball,portugal,primeira_liga,14,SC Braga
fussball,portugal,primeira_liga,15,Benfica Lissabon
fussball,portugal,primeira_liga,16,FC Porto
fussball,portugal,primeira_liga,17,FC Vizela
fussball,portugal,segunda_liga,0,Oliveirense
fussball,portugal,segunda_liga,1,Acad. Viseu
fussball,portugal,segunda_liga,2,CD Nacional
fussball,portugal,segunda_liga,3,Benfica 2
fussball,portugal,segunda_liga,4,AVS Futebol SAD
fussball,portugal,segunda_liga,5,FC Pacos Ferreira
fussball,portugal,segunda_liga,6,CF Belenenses
fussball,portugal,segunda_liga,7,FC Porto 2
fussball,portugal,segunda_liga,8,CD Santa Clara
fussball,portugal,segunda_liga,9,SCU Torreense
fussball,portugal,segunda_liga,10,FC Penafiel
fussball,portugal,segunda_liga,11,Vilaverdense
fussball,portugal,segunda_liga,12,Leixoes
fussball,portugal,segunda_liga,13,UD Leiria
fussball,portugal,segunda_liga,14,CS Maritimo
fussball,portugal,segunda_liga,15,CD Tondela
fussball,portugal,segunda_liga,16,CD Mafra
fussball,portugal,segunda_liga,17,CD Feirense
fussball,spanien,la_liga,1,UD Almeria
fussball,spanien,la_liga,2,Real Sociedad
