country,league,team,id
deutschland,3_liga,SSV Ulm 1846,16
deutschland,3_liga,Erzgebirge Aue,17
deutschland,3_liga,FC Erzgebirge Aue,17
deutschland,3_liga,Preussen 06 Munster,18
deutschland,3_liga,SC Preussen Munster,18
deutschland,3_liga,SC Preussen 06 Munster,18
deutschland,3_liga,1860 Munchen,19
deutschland,3_liga,TSV 1860 Munchen,19
deutschland,3_liga,Dynamo Dresden,20
deutschland,bundesliga,Bayern Munchen,1
deutschland,bundesliga,FC Bayern Munchen,1
deutschland,bundesliga,Eintracht Frankfurt,2
deutschland,bundesliga,FC Augsburg,3
deutschland,bundesliga,TSG 1899 Hoffenheim,4
deutschland,bundesliga,TSG Hoffenheim,4
deutschland,bundesliga,VfB Stuttgart,5
deutschland,bundesliga,VfL Wolfsburg,6
deutschland,bundesliga,Werder Bremen,7
deutschland,bundesliga,SV Werder Bremen,7
deutschland,bundesliga,Bayer Leverkusen,8
deutschland,bundesliga,Union Berlin,9
deutschland,bundesliga,1.FC Union Berlin,9
deutschland,bundesliga,1. FC Union Berlin,9
deutschland,bundesliga,Borussia Dortmund,10
deutschland,bundesliga,1. FC Heidenheim,11
deutschland,bundesliga,1. FC Heidenheim 1846,11
deutschland,bundesliga,FSV Mainz 05,12
deutschland,bundesliga,1. FSV Mainz 05,12
deutschland,bundesliga,SC Freiburg,13
deutschland,bundesliga,SV Darmstadt 98,14
deutschland,bundesliga,VfL Bochum,15
deutschland,bundesliga,1. FC Koln,16
deutschland,bundesliga,RB Leipzig,17
deutschland,bundesliga,Bor. M'gladbach,18
deutschland,bundesliga,Borussia M'gladbach,18
deutschland,bundesliga,Borussia M'Gladbach,18
spanien,la_liga,UD Almeria,1
spanien,la_liga,Real Sociedad,2
spanien,la_liga,UD Las Palmas,3
spanien,la_liga,FC Barcelona,4
spanien,la_liga,RCD Mallorca,5
spanien,la_liga,RC Celta de Vigo,6
spanien,la_liga,Celta Vigo,6
spanien,la_liga,Cadiz,7
spanien,la_liga,Cadiz CF,7
spanien,la_liga,FC Sevilla,8
spanien,la_liga,Sevilla FC,8
spanien,la_liga,Atletico Madrid,9
spanien,la_liga,CF Getafe,10
spanien,la_liga,FC Getafe,10
spanien,la_liga,Getafe CF,10
spanien,la_liga,Athletic Bilbao,11
spanien,la_liga,CF Valencia,12
spanien,la_liga,Valencia CF,12
spanien,la_liga,Granada CF,13
spanien,la_liga,Alaves,14
spanien,la_liga,Deportivo Alaves,14
spanien,la_liga,CD Alaves,14
spanien,la_liga,Girona FC,15
spanien,la_liga,Girona CF,15
spanien,la_liga,Villarreal,16
spanien,la_liga,CF Villarreal,16
spanien,la_liga,Villarreal CF,16
spanien,la_liga,CA Osasuna,17
spanien,la_liga,Real Betis,18
spanien,la_liga,Real Betis Balompie,18
spanien,la_liga,Betis Sevilla,18
spanien,la_liga,Real Madrid,19
spanien,la_liga,Rayo Vallecano,20
spanien,la_liga_2,SD Eibar,1
spanien,la_liga_2,AD Alcorcon,2
spanien,la_liga_2,FC Cartagena,3
spanien,la_liga_2,Real Oviedo,4
spanien,la_liga_2,UD Levante,5
spanien,la_liga_2,Levante UD,5
spanien,la_liga_2,CD Eldense,6
spanien,la_liga_2,Club Dep. Eldense,6
