sports,country,league,team,id
fussball,england,league_one,Reading,6
fussball,england,league_one,Reading FC,6
fussball,england,league_one,Shrewsbury,16
fussball,england,league_one,Shrewsbury Town,16
fussball,england,league_one,Stevenage,21
fussball,england,league_one,Stevenage FC,21
fussball,england,league_one,Wigan,10
fussball,england,league_one,Wigan Athletic,10
fussball,england,league_one,Wycombe,11
fussball,england,league_one,Wycombe Wanderers,11
fussball,england,premier_league,AFC Bournemouth,15
fussball,england,premier_league,Arsenal FC,17
fussball,england,premier_league,Aston Villa,8
fussball,england,premier_league,Aston Villa FC,8
fussball,england,premier_league,Bournemouth,15
fussball,england,premier_league,Brentford,10
fussball,england,premier_league,Brentford FC,10
fussball,england,premier_league,Brighton,16
fussball,england,premier_league,Brighton & Hove,16
fussball,england,premier_league,Brighton & Hove Albion FC,16
fussball,england,premier_league,Burnley FC,11
fussball,england,premier_league,Chelsea FC,19
fussball,england,premier_league,Crystal Palace,9
fussball,england,premier_league,Everton FC,14
fussball,england,premier_league,FC Arsenal,17
fussball,england,premier_league,FC Burnley,11
fussball,england,premier_league,FC Chelsea,19
fussball,england,premier_league,FC Everton,14
fussball,england,premier_league,FC Fulham,1
fussball,england,premier_league,FC Liverpool,2
fussball,england,premier_league,Liverpool,2
fussball,england,premier_league,Liverpool FC,2
fussball,england,premier_league,Luton Town,3
fussball,england,premier_league,Man City,0
fussball,england,premier_league,Manchester City,0
fussball,england,premier_league,Manchester City FC,0
fussball,england,premier_league,Manchester United,18
fussball,england,premier_league,Manchester United FC,18
fussball,england,premier_league,Newcastle,12
fussball,england,premier_league,Newcastle United,12
fussball,england,premier_league,Newcastle United FC,12
fussball,england,premier_league,Nottingham,6
fussball,england,premier_league,Nottingham Forest,6
fussball,england,premier_league,Sheffield United,13
fussball,england,premier_league,Sheffield Utd,13
fussball,england,premier_league,Tottenham,4
fussball,england,premier_league,Tottenham Hotspur,4
fussball,england,premier_league,Tottenham Hotspur FC,4
fussball,england,premier_league,West Ham,7
fussball,england,premier_league,West Ham United,7
fussball,england,premier_league,West Ham United FC,7
fussball,england,premier_league,West Ham Utd,7
fussball,england,premier_league,Wolverhampton,5
fussball,england,premier_league,Wolverhampton Wanderers,5
fussball,frankreich,ligue_1,AC Havre,3
fussball,frankreich,ligue_1,AC Le Havre,3
fussball,frankreich,ligue_1,AS Monaco,13
fussball,frankreich,ligue_1,Clermont Foot,4
fussball,frankreich,ligue_1,Clermont Foot 63,4
fussball,frankreich,ligue_1,Clermont Foot 93,4
fussball,frankreich,ligue_1,FC Lorient,5
fussball,frankreich,ligue_1,FC Metz,17
fussball,frankreich,ligue_1,FC Nantes,11
fussball,frankreich,ligue_1,FC Stade Rennes,14
fussball,frankreich,ligue_1,FC Toulouse,6
fussball,frankreich,ligue_1,LOSC Lille,10
fussball,frankreich,ligue_1,Le Havre AC,3
fussball,frankreich,ligue_1,Lille OSC,10
fussball,frankreich,ligue_1,Montpellier,7
fussball,frankreich,ligue_1,Montpellier HSC,7
fussball,frankreich,ligue_1,OGC Nice,8
fussball,frankreich,ligue_1,OGC Nizza,8
fussball,frankreich,ligue_1,OSC Lille,10
fussball,frankreich,ligue_1,Olym. Lyon,9
fussball,frankreich,ligue_1,Olym. Marseille,0
fussball,frankreich,ligue_1,Olympique Lyon,9
fussball,frankreich,ligue_1,Olympique Marseille,0
fussball,frankreich,ligue_1,Paris SG,2
fussball,frankreich,ligue_1,Paris Saint Germain,2
fussball,frankreich,ligue_1,Paris Saint-Germain,2
fussball,frankreich,ligue_1,RC Lens,1
fussball,frankreich,ligue_1,RC Strassburg,12
fussball,frankreich,ligue_1,RC Strassburg Elsass,12
fussball,frankreich,ligue_1,Racing Strassburg,12
fussball,frankreich,ligue_1,Stade Brest,16
fussball,frankreich,ligue_1,Stade Brest 29,16
fussball,frankreich,ligue_1,Stade Reims,15
fussball,frankreich,ligue_1,Stade Rennes,14
fussball,frankreich,ligue_1,Stade de Reims,15
fussball,frankreich,ligue_1,Toulouse,6
fussball,frankreich,ligue_1,Toulouse FC,6
fussball,frankreich,ligue_2,AC Ajaccio,1
fussball,frankreich,ligue_2,AJ Auxerre,0
fussball,frankreich,ligue_2,AS Saint Etienne,9
fussball,frankreich,ligue_2,AS Saint-Etienne,9
fussball,frankreich,ligue_2,Amiens SC,16
fussball,frankreich,ligue_2,Angers SCO,10
fussball,frankreich,ligue_2,Annecy FC,3
fussball,frankreich,ligue_2,Bordeaux,2
fussball,frankreich,ligue_2,Concarneau,13
fussball,frankreich,ligue_2,Dunkerque,15
fussball,frankreich,ligue_2,EA Guingamp,11
fussball,frankreich,ligue_2,ESTAC Troyes,19
fussball,frankreich,ligue_2,FC Annecy,3
fussball,frankreich,ligue_2,FC Girondins Bordeaux,2
fussball,frankreich,ligue_2,Gir. Bordeaux,2
fussball,frankreich,ligue_2,Girondins Bordeaux,2
fussball,frankreich,ligue_2,Grenoble Foot,12
fussball,frankreich,ligue_2,Grenoble Foot 38,12
fussball,frankreich,ligue_2,Laval,18
fussball,frankreich,ligue_2,Paris FC,4
fussball,frankreich,ligue_2,Pau FC,14
fussball,frankreich,ligue_2,Quevilly - Rouen,7
fussball,frankreich,ligue_2,Rodez Aveyron,5
fussball,frankreich,ligue_2,SC Amiens,16
fussball,frankreich,ligue_2,SC Bastia,17
fussball,frankreich,ligue_2,SCO Angers,10
fussball,frankreich,ligue_2,SM Caen,6
fussball,frankreich,ligue_2,Saint Etienne,9
fussball,frankreich,ligue_2,Stade Laval,18
fussball,frankreich,ligue_2,Stade Lavallois MFC,18
fussball,frankreich,ligue_2,Troyes AC,19
fussball,frankreich,ligue_2,US Concarneau,13
fussball,frankreich,ligue_2,US Quevilly,7
fussball,frankreich,ligue_2,US Quevilly Rouen,7
fussball,frankreich,ligue_2,USL Dunkerque,15
fussball,frankreich,ligue_2,Valenciennes,8
fussball,frankreich,ligue_2,Valenciennes FC,8
fussball,italien,serie_a,AC Florenz,4
fussball,italien,serie_a,AC Mailand,8
fussball,italien,serie_a,AC Monza,6
fussball,italien,serie_a,ACF Florenz,4
fussball,italien,serie_a,AS Rom,2
fussball,italien,serie_a,Atalanta B.C.,2
fussball,italien,serie_a,Atalanta BC,2
fussball,italien,serie_a,Atalanta Bergamo,14
fussball,italien,serie_a,Bologna,5
fussball,italien,serie_a,Bologna FC,5
fussball,italien,serie_a,Cagliari,1
fussball,italien,serie_a,Cagliari Calcio,1
fussball,italien,serie_a,Empoli FC,17
fussball,italien,serie_a,FC Bologna,5
fussball,italien,serie_a,FC Empoli,17
fussball,italien,serie_a,FC Turin,10
fussball,italien,serie_a,Frosinone,18
fussball,italien,serie_a,Frosinone Calcio,18
fussball,italien,serie_a,Genoa CFC,7
fussball,italien,serie_a,Genua CFC,7
fussball,italien,serie_a,Genua FC,7
fussball,italien,serie_a,Hellas Verona,13
fussball,italien,serie_a,Hellas Verona FC,13
fussball,italien,serie_a,Inter Mailand,11
fussball,italien,serie_a,Juventus,9
fussball,italien,serie_a,Juventus Turin,9
fussball,italien,serie_a,Lazio Rom,15
fussball,italien,serie_a,Monza,6
fussball,italien,serie_a,SSC Napoli,12
fussball,italien,serie_a,SSC Neapel,12
fussball,italien,serie_a,Salernitana,0
fussball,italien,serie_a,US Lecce,19
fussball,italien,serie_a,US Salernitana 1919,0
fussball,italien,serie_a,US Sassuolo,3
fussball,italien,serie_a,US Sassuolo Calcio,3
fussball,italien,serie_a,Udinese,16
fussball,italien,serie_a,Udinese Calcio,16
fussball,italien,serie_b,AC Feralpisalo,3
fussball,italien,serie_b,AC Pisa 1909,6
fussball,italien,serie_b,AC Reggiana,15
fussball,italien,serie_b,AS Bari,7
fussball,italien,serie_b,AS Cittadella,1
fussball,italien,serie_b,Ascoli,18
fussball,italien,serie_b,Ascoli Calcio 1898,18
fussball,italien,serie_b,Brescia,10
fussball,italien,serie_b,Brescia Calcio,10
fussball,italien,serie_b,Calcio Como,0
fussball,italien,serie_b,Calcio Lecco,17
fussball,italien,serie_b,Calcio Lecco 1912,17
fussball,italien,serie_b,Cittadella,1
fussball,italien,serie_b,Como 1907,0
fussball,italien,serie_b,Como Calcio,0
fussball,italien,serie_b,Cosenza,14
fussball,italien,serie_b,Cosenza Calcio,14
fussball,italien,serie_b,Cremonese,5
fussball,italien,serie_b,FC Bari,7
fussball,italien,serie_b,FC Modena,4
fussball,italien,serie_b,FC Sudtirol,2
fussball,italien,serie_b,FC Venedig,12
fussball,italien,serie_b,Feralpisalo,3
fussball,italien,serie_b,Modena FC,4
fussball,italien,serie_b,Nuova Cosenza Calcio,14
fussball,italien,serie_b,Palermo,13
fussball,italien,serie_b,Parma,11
fussball,italien,serie_b,Parma Calcio,11
fussball,italien,serie_b,Pisa,6
fussball,italien,serie_b,Reggiana,15
fussball,italien,serie_b,SC Pisa,6
fussball,italien,serie_b,SSC Bari,7
fussball,italien,serie_b,SSC Venezia,12
fussball,italien,serie_b,Sampdoria,16
fussball,italien,serie_b,Sampdoria UC,16
fussball,italien,serie_b,Spezia Calcio,19
fussball,italien,serie_b,Ternana,9
fussball,italien,serie_b,Ternana Calcio,9
fussball,italien,serie_b,UC Sampdoria,16
fussball,italien,serie_b,US Catanzaro,8
fussball,italien,serie_b,US Catanzaro 1929,8
fussball,italien,serie_b,US Cremonese,5
fussball,italien,serie_b,US Palermo,13
fussball,italien,serie_b,Venezia,12
fussball,italien,serie_b,Venezia FC,12
fussball,portugal,primeira_liga,Benfica Lissabon,15
fussball,portugal,primeira_liga,Boavista,3
fussball,portugal,primeira_liga,Boavista FC,3
fussball,portugal,primeira_liga,Boavista Porto,3
fussball,portugal,primeira_liga,CF Estrela,0
fussball,portugal,primeira_liga,CF Estrela Amadora,0
fussball,portugal,primeira_liga,Casa Pia,13
fussball,portugal,primeira_liga,Casa Pia AC,13
